Date,Open,High,Low,Close,Adj Close,Volume
5/12/2020,2939.5,2945.820068,2869.590088,2870.120117,2870.120117,5107710000
5/13/2020,2865.860107,2874.139893,2793.149902,2820,2820,6143130000
5/14/2020,2794.540039,2852.800049,2766.639893,2852.5,2852.5,5641920000
5/15/2020,2829.949951,2865.01001,2816.780029,2863.699951,2863.699951,5477040000
5/18/2020,2913.860107,2968.090088,2913.860107,2953.909912,2953.909912,6364290000
5/19/2020,2948.590088,2964.209961,2922.350098,2922.939941,2922.939941,4969330000
5/20/2020,2953.629883,2980.290039,2953.629883,2971.610107,2971.610107,4992970000
5/21/2020,2969.949951,2978.5,2938.570068,2948.51001,2948.51001,4966940000
5/22/2020,2948.050049,2956.76001,2933.590088,2955.449951,2955.449951,3952800000
5/26/2020,3004.080078,3021.719971,2988.169922,2991.77002,2991.77002,5837060000
5/27/2020,3015.649902,3036.25,2969.75,3036.129883,3036.129883,6371230000
5/28/2020,3046.610107,3068.669922,3023.399902,3029.72998,3029.72998,5402670000
5/29/2020,3025.169922,3049.169922,2998.610107,3044.310059,3044.310059,7275080000
6/1/2020,3038.780029,3062.179932,3031.540039,3055.72998,3055.72998,4673410000
6/2/2020,3064.780029,3081.070068,3051.639893,3080.820068,3080.820068,5187230000
6/3/2020,3098.899902,3130.939941,3098.899902,3122.870117,3122.870117,5989560000
6/4/2020,3111.560059,3128.909912,3090.409912,3112.350098,3112.350098,6428130000
6/5/2020,3163.840088,3211.719971,3163.840088,3193.929932,3193.929932,8617590000
6/8/2020,3199.919922,3233.129883,3196,3232.389893,3232.389893,8437380000
6/9/2020,3213.320068,3222.709961,3193.110107,3207.179932,3207.179932,6382620000
6/10/2020,3213.419922,3223.27002,3181.48999,3190.139893,3190.139893,6570840000
6/11/2020,3123.530029,3123.530029,2999.48999,3002.100098,3002.100098,7018890000
6/12/2020,3071.040039,3088.419922,2984.469971,3041.310059,3041.310059,5832250000
6/15/2020,2993.76001,3079.76001,2965.659912,3066.590088,3066.590088,5740660000
